policy_number,product_code,trans_date,from_date,to_date,agent,class_of_business,client_type,renewal_frequency,branch
pol000006995,prod00033,2017-07-01 08:24:55.800,2017-07-01 00:00:00.000,2018-07-01 00:00:00.000,ag00005,cob00035,ct0001,rf0002,br00002
pol000009828,prod00005,2017-07-01 09:04:02.217,2017-07-03 00:00:00.000,2017-11-02 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00006
pol000009828,prod00005,2017-07-01 09:04:02.217,2017-07-03 00:00:00.000,2017-11-02 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00006
pol000007729,prod00005,2017-07-01 09:36:53.843,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00005,cob00031,ct0003,rf0001,br00002
pol000007729,prod00005,2017-07-01 09:36:53.843,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00005,cob00009,ct0003,rf0001,br00002
pol000006276,prod00005,2017-07-01 10:07:21.287,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00006,cob00009,ct0003,rf0001,br00002
pol000006276,prod00005,2017-07-01 10:07:21.287,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00006,cob00031,ct0003,rf0001,br00002
pol000009954,prod00005,2017-07-01 10:49:52.300,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00033,cob00031,ct0003,rf0001,br00006
pol000009954,prod00005,2017-07-01 10:49:52.300,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00033,cob00009,ct0003,rf0001,br00006
pol000008090,prod00005,2017-07-01 11:08:01.140,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008090,prod00005,2017-07-01 11:08:01.140,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000009552,prod00005,2017-07-01 11:46:59.057,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00127,cob00031,ct0003,rf0001,br00005
pol000009552,prod00005,2017-07-01 11:46:59.057,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00127,cob00009,ct0003,rf0001,br00005
pol000005638,prod00021,2017-07-01 12:25:58.710,2017-07-01 00:00:00.000,2017-11-01 00:00:00.000,ag00004,cob00027,ct0003,rf0001,br00002
pol000005638,prod00021,2017-07-01 12:25:58.710,2017-07-01 00:00:00.000,2017-11-01 00:00:00.000,ag00004,cob00026,ct0003,rf0001,br00002
pol000008091,prod00005,2017-07-01 12:28:11.007,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00141,cob00009,ct0003,rf0001,br00001
pol000008091,prod00005,2017-07-01 12:28:11.007,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00141,cob00031,ct0003,rf0001,br00001
pol000006203,prod00005,2017-07-01 12:30:43.947,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00008,cob00031,ct0003,rf0002,br00002
pol000006203,prod00005,2017-07-01 12:30:43.947,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00008,cob00009,ct0003,rf0002,br00002
pol000005812,prod00015,2017-07-01 12:44:00.737,2017-07-01 00:00:00.000,2018-07-01 00:00:00.000,ag00005,cob00034,ct0001,rf0002,br00002
pol000008092,prod00005,2017-07-01 13:51:10.580,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00133,cob00031,ct0003,rf0001,br00001
pol000008092,prod00005,2017-07-01 13:51:10.580,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00133,cob00009,ct0003,rf0001,br00001
