claim_id,policy_number,claim_number,sum_insured,product,agent,class_of_business,risk_type,loss_date,client_type,renewal_frequency,primary_cause,secondary_cause,branch,target
ID_JZ7QWRHH57RO,pol000009680,claim0011359,300000.0,prod00027,ag00068,cob00031,rt00006,2021-05-13,ct0003,rf0001,pc0007,sc00022,br00006,82150.0
ID_KQ5TJMVLJ4EP,pol000006869,claim0005272,16000.0,prod00005,ag00226,cob00010,rt00032,2018-05-13,ct0003,rf0001,pc0007,sc00023,br00002,3780.24
ID_NYHI7WJGGIAE,pol000006135,claim0004147,3000.0,prod00029,ag00037,cob00010,rt00026,2018-08-18,ct0003,rf0001,pc0007,sc00024,br00002,2196.5
ID_ROMMDCXYUXN5,pol000008991,claim0009962,6000.0,prod00005,ag00037,cob00009,rt00032,2018-12-20,ct0003,rf0001,pc0007,sc00021,br00001,105.67
ID_2OTD9NX8L73D,pol000007768,claim0007346,26850.0,prod00015,ag00226,cob00034,rt00023,2018-11-07,ct0001,rf0001,pc0007,sc00021,br00001,1605.64
ID_H22FLDGRJ0JR,pol000005951,claim0002227,80000.0,prod00015,ag00037,cob00034,rt00023,2019-12-03,ct0001,rf0002,pc0002,sc00003,br00002,0.0
ID_UQF7BGCES9AY,pol000007754,claim0007217,90000.0,prod00015,ag00064,cob00034,rt00023,2019-06-21,ct0001,rf0001,pc0007,sc00023,br00001,1185.84
ID_HK7WLAIP5OXH,pol000005826,claim0000984,60000.0,prod00015,ag00226,cob00034,rt00023,2019-04-30,ct0001,rf0002,pc0007,sc00022,br00002,752.0
ID_SHWOLB04CA2O,pol000010764,claim0013134,7000.0,prod00005,ag00044,cob00009,rt00032,2019-04-21,ct0003,rf0002,pc0007,sc00004,br00009,1637.73
ID_ZE58UZSYEW5L,pol000005356,claim0000060,8000000.0,prod00002,ag00064,cob00003,rt00002,2020-11-08,ct0001,rf0003,pc0002,sc00012,br00002,70515.0
ID_8HGLXAKCTFRW,pol000006115,claim0004045,0.0,prod00015,ag00064,cob00022,rt00025,2019-12-14,ct0001,rf0005,pc0007,sc00024,br00002,2388.0
ID_TWDB1RP1CGO7,pol000009336,claim0010388,12600.0,prod00005,ag00226,cob00009,rt00032,2018-12-21,ct0003,rf0001,pc0007,sc00004,br00001,440.0
ID_Z6G03R6R4GSV,pol000005349,claim0000032,2627000.0,prod00002,ag00068,cob00004,rt00001,2018-03-10,ct0001,rf0001,pc0001,sc00002,br00002,8920.62
ID_KVZSS7F2BFHM,pol000006139,claim0006674,2000.0,prod00029,ag00037,cob00010,rt00026,2019-06-04,ct0001,rf0002,pc0007,sc00023,br00002,3000.0
ID_IF7IATEAUTI2,pol000007754,claim0007208,180000.0,prod00015,ag00064,cob00034,rt00023,2020-03-23,ct0001,rf0001,pc0007,sc00023,br00001,2542.05
ID_5O1OQUH5JZOK,pol000007786,claim0007509,8000.0,prod00015,ag00226,cob00034,rt00023,2018-10-31,ct0001,rf0002,pc0007,sc00023,br00001,29367.09
ID_X9NPTBKTW7Q5,pol000005951,claim0002270,38000.0,prod00015,ag00037,cob00034,rt00023,2018-03-24,ct0001,rf0002,pc0007,sc00023,br00002,3775.5
ID_LBABKCPO8ET3,pol000007967,claim0008386,0.0,prod00015,ag00068,cob00034,rt00024,2020-10-28,ct0001,rf0001,pc0015,sc00020,br00001,20000.0
ID_C5SLBLI9SP1F,pol000007701,claim0006650,200000.0,prod00013,ag00037,cob00021,rt00022,2018-04-02,ct0001,rf0002,pc0002,sc00052,br00001,48636.15
ID_IE2Z0ACA0X3O,pol000007867,claim0007981,20000.0,prod00015,ag00037,cob00010,rt00023,2020-10-19,ct0001,rf0002,pc0007,sc00024,br00001,20000.0
ID_3O43628E9JY1,pol000009478,claim0010831,6750000.0,prod00015,ag00064,cob00034,rt00023,2021-02-28,ct0001,rf0002,pc0007,sc00004,br00005,88416.9
ID_4AOI7PTPEQ1I,pol000007953,claim0008306,22000000.0,prod00015,ag00068,cob00034,rt00023,2020-10-27,ct0001,rf0001,pc0007,sc00024,br00001,27720.0
ID_PH8KPEAIMQX2,pol000009455,claim0010701,0.0,prod00015,ag00037,cob00022,rt00025,2018-02-08,ct0001,rf0002,pc0007,sc00023,br00005,1015.0
ID_OUP2YHXY6P1Z,pol000011012,claim0013740,10000.0,prod00027,ag00068,cob00031,rt00006,2019-09-07,ct0003,rf0001,pc0007,sc00031,br00006,195.66
ID_GMJUKJ2S31ZD,pol000010746,claim0013104,6000.0,prod00005,ag00044,cob00009,rt00032,2019-01-29,ct0003,rf0002,pc0002,sc00053,br00009,4010.0
ID_RZ3CE1F3A66G,pol000010785,claim0014011,0.0,prod00028,ag00044,cob00009,rt00033,2018-08-06,ct0003,rf0002,pc0007,sc00024,br00009,0.0
ID_ZYBQEP5S5A86,pol000007030,claim0005548,2000000.0,prod00015,ag00037,cob00034,rt00023,2019-12-17,ct0001,rf0001,pc0007,sc00022,br00004,14196.1
ID_CVJ4QJXBXSRI,pol000006225,claim0004385,5000.0,prod00005,ag00064,cob00009,rt00032,2018-09-16,ct0003,rf0001,pc0007,sc00023,br00002,0.0
ID_Y500V2WW414I,pol000006079,claim0006028,10500000.0,prod00015,ag00226,cob00034,rt00023,2020-09-19,ct0001,rf0003,pc0007,sc00023,br00002,103771.35
ID_SUY7JJHDDIW7,pol000007230,claim0005931,8000.0,prod00027,ag00226,cob00031,rt00006,2019-12-01,ct0003,rf0002,pc0007,sc00021,br00001,125.0
ID_UGYGXY0QRSCY,pol000005439,claim0000243,8000.0,prod00027,ag00068,cob00031,rt00006,2019-03-21,ct0003,rf0001,pc0007,sc00022,br00002,581.49
ID_FI9PZFMZ8KWU,pol000009478,claim0010626,100000.0,prod00015,ag00064,cob00034,rt00023,2019-06-27,ct0001,rf0002,pc0007,sc00021,br00005,5171.8
ID_P899F2UCBNXK,pol000006164,claim0004223,1106931.0,prod00018,ag00037,cob00023,rt00027,2018-01-08,ct0001,rf0004,pc0017,sc00061,br00002,1413.89
ID_THYPNZSD7XI8,pol000006015,claim0004110,0.0,prod00015,ag00064,cob00022,rt00025,2019-05-13,ct0001,rf0001,pc0007,sc00021,br00002,409.86
ID_YR0PKXTED5HL,pol000005968,claim0002695,100000.0,prod00015,ag00037,cob00010,rt00023,2018-02-27,ct0001,rf0002,pc0007,sc00029,br00002,10018.45
ID_RPET29O0ODS2,pol000009461,claim0010742,80000.0,prod00015,ag00037,cob00034,rt00023,2018-07-11,ct0001,rf0002,pc0007,sc00023,br00005,0.0
ID_DOOPZH68KDNX,pol000010207,claim0012186,4644000.0,prod00015,ag00068,cob00034,rt00023,2020-07-28,ct0001,rf0003,pc0007,sc00023,br00007,19568.0
ID_Q5RN48XHCYIT,pol000007830,claim0007670,50000.0,prod00015,ag00226,cob00034,rt00023,2018-08-02,ct0003,rf0002,pc0007,sc00021,br00001,1664.13
ID_5WWQ1EHQSOKW,pol000010126,claim0012217,0.0,prod00008,ag00068,cob00013,rt00050,2018-10-02,ct0001,rf0002,pc0012,sc00074,br00007,1618.4
ID_XAVJSH1A64AG,pol000009515,claim0010822,4050000.0,prod00015,ag00064,cob00034,rt00023,2021-03-21,ct0001,rf0002,pc0007,sc00004,br00005,111510.0
ID_UTG8EJ92TU1E,pol000005944,claim0002464,7400000.0,prod00015,ag00226,cob00034,rt00023,2021-01-05,ct0001,rf0003,pc0007,sc00029,br00002,120980.7
ID_33MLKTCPMML5,pol000009666,claim0013731,0.0,prod00027,ag00226,cob00031,rt00006,2020-06-28,ct0003,rf0001,pc0007,sc00023,br00006,250.0
ID_U8IR3STK3C78,pol000006027,claim0003577,15000.0,prod00015,ag00068,cob00034,rt00023,2018-03-31,ct0003,rf0002,pc0007,sc00021,br00002,240.62
ID_4QM46OEFRHHK,pol000009723,claim0011242,7000.0,prod00005,ag00064,cob00009,rt00032,2018-08-25,ct0003,rf0002,pc0007,sc00023,br00005,187.5
ID_QQQPDXW4MFUV,pol000006038,claim0003698,81000.0,prod00015,ag00068,cob00034,rt00023,2019-01-27,ct0001,rf0002,pc0007,sc00022,br00002,1210.0
